experiment_name,impression_id,startuptime
Berlin I,b51b0615-3fe6-4138-9abf-04dab12891f7,25.233
Berlin I,9c1dfcea-767c-49ee-b9a7-62f227578ec2,0.411
Berlin I,5d0e0436-a2fc-47e2-9702-df6869d2e2f0,0.751
Berlin I,67f64a70-c7fb-415c-9799-647046813009,0.957
Berlin I,1abb12e2-cb95-49f9-9634-7139df2585d8,0.367
Berlin I,c4b0efb6-c1af-4e8f-bffa-4bab0107ae41,0.304
Berlin I,20fff020-a711-4925-998b-f22b3a7ee824,0.280
Berlin I,5ab4eb12-852a-4c40-a5cd-09b676b6596a,0.374
Berlin I,a8927696-1c38-4b3c-ab76-f2a77d4359b2,0.534
Berlin I,17d2cd62-231f-4e5a-a1b6-8b17f45500d1,0.202
Berlin I,75c10776-fb59-4cd2-9290-a78b3639b57f,0.204
Berlin I,d279e368-2321-4d1f-bd23-859277b6dded,0.299
Berlin I,95b50414-daa4-404e-b193-aad8d375b20b,0.450
Berlin I,d4b375b3-c4bd-4717-b19a-cbe97d74b3a7,0.562
Berlin I,014716e8-8d4b-46e8-81c2-532b2d90b5a2,1.191
Berlin I,b45981c8-bbd6-454f-81d1-7e8bb854f643,1.271
Berlin I,c3cd0462-af64-49f0-be78-8f04bbd1f62f,1.374
Berlin I,de3c00d6-8d77-4040-ba9e-5592caf26e49,0.815
Berlin I,5b617964-dcb6-4a6e-aa1e-dfcd6a3570f7,1.362
Berlin I,c964696e-038e-4122-9c40-a504cf574a85,1.651
Berlin I,adefd2d2-f8ae-4beb-8f39-2f2438b65421,0.625
Berlin I,56fb18a5-abae-4bf2-86a7-d0cc1be3a091,0.287
Berlin I,766cc5ee-fe39-4597-ac53-5c3ddedca1d4,0.308
Berlin I,4dcf2d9b-8bcb-4402-a71f-718a2cd8da3c,33.631
Berlin I,cbe7e0b1-b5e7-4dc0-bddb-35804fce4037,0.882
Berlin I,ae9c6cd7-3b72-4e31-87f1-8a509f451396,0.792
Berlin I,5ea758bc-2d93-499f-95dd-30425a291f6c,4.388
Berlin I,615f16f0-7e9d-41aa-9fe3-e6485d910401,266.872
Berlin I,8de1b669-1c9f-4cfe-bf6f-565829462d24,0.654
Berlin I,c650e994-47b2-4e15-933d-3582c9b2e620,0.170
Berlin I,58f9ce17-14c0-4c02-9f0a-d45b584ce077,0.059
Berlin I,23f1d591-8a9c-4827-a760-4dc9d5505327,0.053
Berlin I,92e4b93f-f437-4634-97ca-321ff5ad81f0,0.485
Berlin I,4b509f35-7b54-46f9-8af3-00c01d8dff9e,0.719
Berlin I,3637b17a-7137-484a-85ff-89054b1243a2,0.219
Berlin I,7059202a-c539-4ed5-a997-61215db45cf7,0.055
Berlin I,c2c5eea9-5509-431f-945f-22d724ea5467,0.073
Berlin I,077376f1-e17a-43f4-a4bb-72d49e50eba4,0.351
Berlin I,fc32cb55-2b62-44c2-8f33-fd4102f457d9,0.868
Berlin I,a79bef16-0b5e-455a-af89-ff5dc0837407,0.836
Berlin I,ab96ccd2-76b5-4ccb-92b5-610b195425c7,0.775
Berlin I,290fe92a-dff3-45e3-8735-87f1c8f48633,9.222
Berlin I,26f67872-fa26-4761-aa72-a10f5af0110d,3.451
Berlin I,49766088-3e0b-431f-8041-ce7fde02616d,0.400
Berlin I,5f361933-0b6e-4b98-98a5-ea2227204665,5577.234
Berlin II,906f9411-e5de-4473-8356-91434d4524fe,2.104
Berlin II,03e092a9-ebca-4070-adea-e779e6095119,3.024
Berlin II,bcd72ed9-a8ad-4eb7-b86b-3a05c000ee4d,3.531
Berlin II,ff8749c7-e07b-47a0-8665-ddb2eb726132,2.581
Berlin II,ae0c255a-b9eb-414b-a240-a99948c17de6,3.288
Berlin II,91bcc6e4-2e69-4620-b67d-647065443acb,2.021
Berlin II,93a50a67-1985-4a0c-b30e-398f182e50ad,1.647
Berlin II,32489899-4b4f-46cc-9585-5a18edcf8073,1.824
Berlin II,1bec22b7-38f6-4a74-9fa7-e5b10193927c,2.380
Berlin II,0fa9c29c-4e32-4579-9e5c-0c2a0d1f401d,2.623
Berlin II,0a2acdad-f836-4a33-ab5f-17fadde21625,2.167
Berlin II,c915bf5a-2548-42e2-8f2a-5f4c1e01d81e,2.471
