time,act_rate
0,4685.351
60,5960.277
120,5963.267
180,5994.067
240,5982.400
300,3607.530
360,3901.373
420,4546.012
480,4364.742
540,4301.641
600,2425.312
660,2927.297
720,3065.883
780,3039.227
840,3135.619
900,2085.074
960,2094.346
1020,2320.467
1080,2413.306
1140,2233.632
1200,1654.832
1260,1638.331
1320,1774.368
1380,1738.672
1440,1753.118
1500,1422.599
1560,1374.757
1620,1544.973
1680,1480.009
1740,1467.890
1800,1311.517
1860,1289.361
1920,1277.246
1980,1258.720
2040,1359.935
2100,1245.703
2160,1184.149
2220,1187.320
2280,1167.142
2340,1174.977
2400,1129.969
2460,1200.944
2520,1138.629
2580,1092.465
2640,1143.756
2700,1113.852
2760,1094.570
2820,1067.718
2880,1062.748
2940,1118.026
3000,1084.470
3060,1063.714
3120,1034.872
3180,1086.475
3240,1088.285
3300,1077.311
3360,1066.602
3420,1078.828
3480,1085.350
3540,1049.544
3600,1053.092
3660,1056.340
3720,1034.846
3780,1063.912
3840,1072.722
3900,1040.735
3960,1061.213
4020,1021.837
4080,1051.265
4140,1061.462
4200,1068.140
4260,1042.047
4320,1065.438
4380,1048.293
4440,1041.821
4500,1022.773
4560,1062.334
4620,1032.248
4680,1047.535
4740,1028.684
4800,1064.857
4860,1029.244
4920,1035.141
4980,1113.117
5040,1059.546
5100,1035.429
5160,1080.903
5220,1055.523
5280,1044.104
5340,1073.779
5400,1048.862
5460,1019.291
5520,1039.040
5580,1036.485
5640,1047.569
5700,1037.413
5760,1031.766
5820,1040.140
5880,1053.932
5940,1035.259
