period,min_,low,high,max_
1,0.000,0.000,0.000,0.000
2,0.000,0.000,0.000,0.600
3,0.000,0.000,0.000,0.200
4,0.000,0.000,0.000,0.400
5,0.000,0.000,0.000,0.400
6,0.000,0.000,0.000,0.200
7,0.000,0.000,0.000,0.400
8,0.000,0.000,0.000,1.400
9,0.000,0.000,0.800,1.800
10,0.000,0.000,1.800,1.800
11,0.000,0.000,1.800,1.800
12,0.000,0.000,1.800,2.000
13,0.000,0.000,1.800,1.800
14,0.000,0.000,1.800,1.800
15,0.000,0.000,1.800,1.800
16,0.000,0.000,1.800,2.200
17,0.000,0.000,1.400,1.800
18,0.000,0.000,1.800,2.000
19,0.000,0.000,1.400,1.800
20,0.000,0.000,1.800,2.000
