period,min_,low,high,max_
1,0.037,0.037,0.517,0.741
2,0.093,0.093,0.364,0.364
3,0.173,0.173,0.456,0.788
4,0.190,0.190,1.732,1.732
5,1.776,1.776,2.174,5.709
6,1.598,1.598,3.515,3.515
7,2.004,3.432,4.058,4.343
8,1.589,1.589,5.839,5.839
9,5.206,5.206,11.946,11.946
10,3.292,3.292,9.646,9.646
11,2.995,2.995,10.489,10.489
12,2.105,2.105,22.889,22.889
13,1.904,1.904,19.915,19.915
14,2.737,2.737,9.092,9.092
15,1.877,1.877,2.890,5.369
16,1.641,1.641,3.497,6.362
17,2.927,2.927,8.839,14.399
18,1.607,1.607,2.076,2.076
19,1.708,7.286,13.653,13.653
20,3.140,3.140,13.807,13.807
