period,id,freq
1,1,0.200
1,2,0.200
1,3,0.600
1,4,0.400
1,5,0.800
1,6,1.600
1,7,0.400
1,8,0.200
1,9,0.600
1,10,0.200
2,1,1.200
2,2,0.600
2,3,0.200
2,4,1.200
2,5,0.800
2,6,1.400
2,7,1.200
2,8,0.000
2,9,1.800
2,10,1.200
2,11,1.000
2,12,1.000
2,13,1.000
2,14,1.400
2,15,2.600
2,16,1.800
2,17,2.000
2,18,1.400
2,19,1.600
2,20,1.200
3,1,0.600
3,2,1.200
3,3,0.000
3,4,0.800
3,5,3.000
3,6,1.200
3,7,0.200
3,8,0.400
3,9,0.800
3,10,1.000
3,11,1.000
3,12,1.200
3,13,0.600
3,14,1.200
3,15,1.000
3,16,1.000
3,17,0.800
3,18,0.400
3,19,1.200
3,20,1.200
3,21,1.800
3,22,1.400
3,23,1.800
3,24,1.000
3,25,1.800
3,26,0.800
3,27,0.600
3,28,2.000
3,29,1.000
3,30,1.400
4,1,0.000
4,2,0.600
4,3,0.200
4,4,0.800
4,5,1.800
4,6,0.600
4,7,0.000
4,8,0.200
4,9,0.600
4,10,0.600
4,11,0.800
4,12,0.800
4,13,0.000
4,14,0.400
4,15,0.200
4,16,0.600
4,17,0.400
4,18,0.000
4,19,0.600
4,20,1.200
4,21,0.000
4,22,0.200
4,23,0.600
4,24,0.200
4,25,0.600
4,26,0.000
4,27,0.000
4,28,1.600
4,29,1.200
4,30,0.200
4,31,1.000
4,32,1.600
4,33,1.200
4,34,1.000
4,35,1.200
4,36,3.200
4,37,1.200
4,38,1.000
4,39,1.200
4,40,2.400
5,1,0.000
5,2,1.000
5,3,0.200
5,4,1.200
5,5,0.000
5,6,0.400
5,7,0.000
5,8,0.000
5,9,1.400
5,10,0.400
5,11,0.800
5,12,1.000
5,13,0.000
5,14,0.600
5,15,1.000
5,16,1.000
5,17,0.000
5,18,0.200
5,19,0.200
5,20,0.400
5,21,1.200
5,22,0.600
5,23,0.600
5,24,0.000
5,25,1.200
5,26,0.000
5,27,1.800
5,28,0.000
5,29,0.400
5,30,0.000
5,31,0.000
5,32,0.600
5,33,2.000
5,34,1.400
5,35,0.800
5,36,0.200
5,37,0.200
5,38,1.600
5,39,0.600
5,40,1.200
5,41,1.200
5,42,0.400
5,43,1.400
5,44,0.800
5,45,2.400
5,46,0.800
5,47,0.000
5,48,0.800
5,49,0.800
5,50,0.800
6,1,0.800
6,2,0.200
6,3,0.200
6,4,1.000
6,5,0.000
6,6,0.000
6,7,0.000
6,8,0.000
6,9,0.000
6,10,0.000
6,11,1.000
6,12,0.600
6,13,0.800
6,14,0.600
6,15,1.000
6,16,1.400
6,17,0.000
6,18,0.400
6,19,0.000
6,20,1.000
6,21,1.000
6,22,0.800
6,23,0.000
6,24,0.000
6,25,1.200
6,26,0.000
6,27,0.000
6,28,0.200
6,29,0.000
6,30,0.000
6,31,0.200
6,32,0.000
6,33,1.000
6,34,1.000
6,35,0.600
6,36,0.000
6,37,0.200
6,38,1.800
6,39,0.000
6,40,1.000
6,41,0.400
6,42,0.200
6,43,0.800
6,44,0.200
6,45,1.200
6,46,0.400
6,47,0.400
6,48,0.600
6,49,0.800
6,50,1.000
6,51,2.000
6,52,1.000
6,53,3.200
6,54,0.800
6,55,0.200
6,56,1.000
6,57,1.200
6,58,1.600
6,59,2.000
6,60,1.800
7,1,0.600
7,2,1.400
7,3,0.200
7,4,1.400
7,5,0.400
7,6,0.000
7,7,0.200
7,8,0.200
7,9,0.000
7,10,0.200
7,11,0.400
7,12,0.600
7,13,1.000
7,14,2.200
7,15,0.000
7,16,0.000
7,17,0.200
7,18,0.800
7,19,0.200
7,20,0.200
7,21,0.400
7,22,0.000
7,23,0.000
7,24,0.000
7,25,0.200
7,26,0.000
7,27,0.000
7,28,0.200
7,29,0.600
7,30,0.600
7,31,0.600
7,32,0.200
7,33,0.200
7,34,0.200
7,35,1.000
7,36,0.000
7,37,0.200
7,38,0.800
7,39,0.000
7,40,0.200
7,41,0.000
7,42,0.400
7,43,0.400
7,44,1.000
7,45,1.200
7,46,0.600
7,47,0.000
7,48,0.600
7,49,0.600
7,50,0.000
7,51,0.200
7,52,0.000
7,53,0.200
7,54,0.200
7,55,0.400
7,56,0.400
7,57,0.600
7,58,0.000
7,59,0.800
7,60,0.200
7,61,0.800
7,62,0.200
7,63,1.600
7,64,2.000
7,65,1.600
7,66,2.000
7,67,2.400
7,68,0.000
7,69,2.400
7,70,0.200
8,1,0.600
8,2,0.000
8,3,0.200
8,4,0.000
8,5,1.000
8,6,0.000
8,7,0.400
8,8,0.200
8,9,0.200
8,10,0.400
8,11,0.000
8,12,0.000
8,13,0.200
8,14,0.400
8,15,0.000
8,16,0.000
8,17,0.000
8,18,0.600
8,19,0.000
8,20,0.200
8,21,0.200
8,22,0.000
8,23,0.000
8,24,2.400
8,25,0.000
8,26,0.000
8,27,0.000
8,28,0.200
8,29,0.200
8,30,0.000
8,31,0.000
8,32,0.400
8,33,0.200
8,34,0.400
8,35,0.200
8,36,0.000
8,37,1.200
8,38,0.000
8,39,0.000
8,40,0.000
8,41,0.000
8,42,0.400
8,43,0.000
8,44,0.400
8,45,1.000
8,46,0.800
8,47,0.800
8,48,0.000
8,49,1.400
8,50,0.400
8,51,0.400
8,52,0.200
8,53,0.600
8,54,0.200
8,55,0.600
8,56,0.400
8,57,1.000
8,58,1.200
8,59,0.400
8,60,1.000
8,61,0.800
8,62,0.400
8,63,0.600
8,64,0.800
8,65,1.000
8,66,0.600
8,67,0.600
8,68,1.000
8,69,1.200
8,70,1.400
8,71,0.200
8,72,0.200
8,73,0.800
8,74,0.400
8,75,0.000
8,76,0.400
8,77,0.200
8,78,1.200
8,79,1.000
8,80,0.800
9,1,0.000
9,2,0.000
9,3,0.200
9,4,0.000
9,5,0.400
9,6,1.200
9,7,0.000
9,8,0.000
9,9,0.400
9,10,0.000
9,11,0.400
9,12,0.800
9,13,0.000
9,14,0.200
9,15,0.200
9,16,0.000
9,17,0.200
9,18,0.000
9,19,0.200
9,20,0.200
9,21,0.400
9,22,0.600
9,23,0.200
9,24,0.000
9,25,0.000
9,26,0.200
9,27,0.400
9,28,0.400
9,29,1.000
9,30,0.000
9,31,0.200
9,32,0.000
9,33,0.200
9,34,0.000
9,35,0.000
9,36,0.800
9,37,0.200
9,38,1.200
9,39,0.400
9,40,0.000
9,41,0.000
9,42,0.200
9,43,1.000
9,44,1.800
9,45,0.600
9,46,1.000
9,47,0.400
9,48,0.800
9,49,0.000
9,50,0.400
9,51,0.000
9,52,0.600
9,53,0.000
9,54,0.400
9,55,0.400
9,56,0.200
9,57,0.400
9,58,1.000
9,59,0.200
9,60,0.000
9,61,0.400
9,62,1.200
9,63,0.600
9,64,1.200
9,65,0.200
9,66,0.400
9,67,0.000
9,68,0.800
9,69,0.200
9,70,0.400
9,71,0.000
9,72,0.000
9,73,0.200
9,74,0.000
9,75,0.200
9,76,0.000
9,77,1.200
9,78,0.000
9,79,0.000
9,80,0.800
9,81,0.400
9,82,1.200
9,83,1.000
9,84,0.400
9,85,0.000
9,86,0.200
9,87,0.400
9,88,0.200
9,89,1.800
9,90,0.600
10,1,0.000
10,2,0.000
10,3,0.400
10,4,0.800
10,5,0.600
10,6,0.600
10,7,0.200
10,8,1.200
10,9,0.200
10,10,0.400
10,11,0.200
10,12,0.200
10,13,0.200
10,14,1.000
10,15,0.600
10,16,0.000
10,17,0.200
10,18,0.000
10,19,0.400
10,20,0.200
10,21,0.800
10,22,0.400
10,23,0.000
10,24,0.200
10,25,0.200
10,26,0.200
10,27,0.000
10,28,1.400
10,29,0.000
10,30,0.200
10,31,0.200
10,32,0.400
10,33,0.200
10,34,0.200
10,35,0.400
10,36,0.800
10,37,0.400
10,38,0.000
10,39,0.000
10,40,0.000
10,41,0.600
10,42,1.000
10,43,0.200
10,44,0.800
10,45,0.400
10,46,0.600
10,47,1.000
10,48,0.400
10,49,0.000
10,50,0.800
10,51,0.000
10,52,0.000
10,53,0.200
10,54,1.200
10,55,0.000
10,56,0.000
10,57,1.600
10,58,0.000
10,59,0.000
10,60,0.000
10,61,0.200
10,62,0.000
10,63,0.200
10,64,0.000
10,65,0.200
10,66,0.000
10,67,0.400
10,68,0.000
10,69,0.200
10,70,0.200
10,71,0.800
10,72,0.000
10,73,0.200
10,74,0.200
10,75,0.000
10,76,0.600
10,77,0.000
10,78,0.200
10,79,0.200
10,80,0.400
10,81,0.000
10,82,0.000
10,83,0.200
10,84,0.000
10,85,0.200
10,86,0.000
10,87,0.000
10,88,0.000
10,89,0.600
10,90,0.000
10,91,0.800
10,92,0.200
10,93,0.000
10,94,0.000
10,95,0.200
10,96,0.000
10,97,0.000
10,98,0.000
10,99,0.600
10,100,0.000
11,1,0.600
11,2,0.000
11,3,0.000
11,4,0.200
11,5,0.400
11,6,0.000
11,7,0.000
11,8,0.400
11,9,0.400
11,10,0.400
11,11,0.000
11,12,0.000
11,13,0.200
11,14,0.000
11,15,0.000
11,16,0.400
11,17,0.200
11,18,0.400
11,19,0.000
11,20,0.400
11,21,0.400
11,22,0.000
11,23,0.000
11,24,0.400
11,25,0.000
11,26,0.400
11,27,0.600
11,28,0.000
11,29,0.200
11,30,0.200
11,31,0.400
11,32,0.400
11,33,0.400
11,34,0.200
11,35,0.600
11,36,0.200
11,37,0.400
11,38,0.600
11,39,0.200
11,40,0.400
11,41,0.000
11,42,1.400
11,43,0.000
11,44,0.600
11,45,0.000
11,46,0.400
11,47,0.200
11,48,0.600
11,49,0.000
11,50,0.200
11,51,0.000
11,52,0.200
11,53,0.000
11,54,1.000
11,55,0.200
11,56,0.000
11,57,0.200
11,58,0.000
11,59,0.000
11,60,0.000
11,61,0.000
11,62,0.200
11,63,0.000
11,64,0.400
11,65,0.200
11,66,0.200
11,67,0.200
11,68,0.400
11,69,0.200
11,70,0.200
11,71,0.400
11,72,0.200
11,73,0.800
11,74,1.000
11,75,0.000
11,76,0.200
11,77,0.000
11,78,0.000
11,79,0.400
11,80,0.000
11,81,0.200
11,82,0.200
11,83,0.600
11,84,0.200
11,85,0.200
11,86,0.000
11,87,0.400
11,88,0.000
11,89,0.000
11,90,0.000
11,91,0.000
11,92,0.600
11,93,0.200
11,94,0.000
11,95,0.000
11,96,0.000
11,97,0.000
11,98,0.000
11,99,0.200
