period,min_,low,high,max_
1,0.200,0.200,0.800,1.600
2,0.000,0.600,2.000,2.600
3,0.000,0.400,1.400,3.000
4,0.000,0.000,2.400,3.200
5,0.000,0.000,2.000,2.400
6,0.000,0.000,2.000,3.200
7,0.000,0.000,1.200,2.400
8,0.000,0.000,1.400,2.400
9,0.000,0.000,1.200,1.800
10,0.000,0.000,1.000,1.600
11,0.000,0.000,1.000,1.400
12,0.000,0.000,1.000,1.600
13,0.000,0.000,0.400,1.200
14,0.000,0.000,0.400,1.400
15,0.000,0.000,0.400,1.200
16,0.000,0.000,0.400,1.200
17,0.000,0.000,0.400,1.200
18,0.000,0.000,0.400,1.200
19,0.000,0.000,0.400,0.800
20,0.000,0.000,0.400,1.000
