period,id,freq
1,6,1.600
2,3,0.200
2,8,0.000
2,15,2.600
3,3,0.000
3,5,3.000
3,7,0.200
3,21,1.800
3,23,1.800
3,25,1.800
3,28,2.000
4,36,3.200
5,45,2.400
6,53,3.200
7,2,1.400
7,4,1.400
7,14,2.200
7,63,1.600
7,64,2.000
7,65,1.600
7,66,2.000
7,67,2.400
7,69,2.400
8,24,2.400
9,44,1.800
9,89,1.800
10,8,1.200
10,28,1.400
10,54,1.200
10,57,1.600
11,42,1.400
12,44,1.600
12,47,1.200
12,67,1.200
13,7,0.800
13,9,1.000
13,10,0.600
13,18,0.600
13,52,0.800
13,57,1.200
13,61,1.000
13,83,0.600
13,106,0.800
13,108,0.800
14,7,0.600
14,9,0.800
14,13,1.000
14,26,0.600
14,33,0.600
14,38,1.400
14,51,0.600
14,54,0.800
14,96,0.600
14,97,0.800
14,130,1.000
14,138,0.800
15,16,0.600
15,17,0.600
15,20,0.600
15,24,1.200
15,29,0.600
15,42,0.600
15,59,0.800
15,64,0.800
15,66,0.600
15,93,0.800
15,100,0.800
15,105,0.600
15,115,0.600
16,10,0.600
16,16,0.600
16,18,0.600
16,21,0.600
16,22,1.200
16,33,0.600
16,53,0.600
16,70,0.800
16,82,0.600
16,83,1.000
16,99,0.600
16,119,0.800
17,2,0.800
17,11,0.600
17,17,0.600
17,34,0.800
17,40,0.600
17,44,1.000
17,49,0.800
17,53,0.600
17,60,0.800
17,68,0.800
17,72,0.600
17,80,0.600
17,81,0.600
17,85,1.200
17,97,0.600
17,101,0.600
17,105,1.000
18,3,0.600
18,16,0.600
18,18,0.600
18,20,0.600
18,26,0.600
18,28,0.600
18,37,1.000
18,39,1.200
18,41,0.600
18,46,1.000
18,76,0.600
18,77,0.600
18,80,0.800
18,90,1.000
18,101,0.600
19,15,0.600
19,20,0.600
19,38,0.600
19,42,0.800
19,69,0.600
19,73,0.600
19,111,0.600
19,130,0.600
20,1,0.600
20,18,0.600
20,22,0.600
20,31,0.800
20,59,0.600
20,70,0.600
20,88,0.600
20,91,0.800
20,134,1.000
20,200,1.000
