Seg_#  Arr_time  Del_Time  Stall_Dur  Rep_Level  Del_Rate  Act_Rate  Byte_Size  Buff_Level
    1      8147      8147          0       1002       250      1019     254750       2.000
    2     10071      1923          0       1002      1155      1111     277826       4.000
    3     11539      1468          0       1002      1288       945     236436       4.532
    4     12522       983          0       1002      2276      1119     279808       5.548
    5     13268       745          0       1002      3097      1154     288654       6.803
    6     14378      1110          0       1002      1831      1016     254082       7.693
    7     15306       928          0       1002      2008       932     233115       8.764
    8     16429      1123          0       1002      1641       921     230404       9.641
    9     17217       787          0       1002      1979       779     194933      10.854
   10     17770       552          0       1002      2870       793     198266      12.301
   11     18650       880          0       1002      1845       812     203169      13.420
   12     22728      4077          0       1002       395       806     201716      11.343
   13     26479      3750          0       1002       570      1070     267691       9.592
   14     32355      5876          0       1002       322       946     236530       5.716
   15     40234      7879       2163       1002       206       811     202998       2.000
   16     42836      2601        601       1002       713       927     231991       2.000
   17     44515      1679          0       1002      1253      1052     263035       2.321
   18     45701      1185          0       1002      1866      1106     276603       3.135
   19     46563       862          0       1002      2583      1113     278375       4.273
   20     49649      3086          0       1002       792      1222     305651       3.187
   21     50310       660          0       1002      3467      1145     286426       4.526
   22     51655      1344          0       1002      1621      1090     272598       5.181
   23     52568       912          0       1002      2205      1006     251612       6.268
   24     56207      3639          0       1002       467       850     212723       4.629
   25     57442      1235          0       1002      1485       917     229343       5.394
   26     59884      2441          0       1002       656       801     200468       4.952
   27     61414      1529          0       1002      1071       819     204863       5.422
   28     62821      1406          0       1002      1337       940     235088       6.015
   29     64198      1377          0       1002      1534      1056     264170       6.638
   30     67893      3694          0       1002       475       877     219390       4.943
   31     76202      8309       3365       1002       207       860     215151       2.000
   32     77773      1571          0       1002      1308      1028     257050       2.429
   33     78935      1161          0       1002      1781      1034     258720       3.267
   34     81349      2413          0       1002       900      1086     271582       2.853
   35     82564      1214          0       1002      2023      1229     307361       3.638
   36     96396     13832      10194       1002       173      1200     300176       2.000
   37    100692      4295       2295       1002       488      1049     262322       2.000
   38    103341      2649        649       1002       720       954     238656       2.000
   39    106180      2838        838       1002       649       922     230537       2.000
   40    115379      9199       7199       1002       196       903     225791       2.000
   41    118270      2891        891       1002       582       842     210560       2.000
   42    119757      1487          0       1002      1039       773     193322       2.513
   43    125167      5409       2896       1002       322       871     217898       2.000
   44    128027      2859        859       1002       778      1112     278194       2.000
   45    129536      1508          0       1002      1162       877     219280       2.491
   46    131307      1770          0       1002       971       860     215102       2.720
   47    132148       840          0       1002      2395      1007     251815       3.879
   48    133054       906          0       1002      2250      1019     254855       4.973
   49    133292       238          0       1002      9470      1129     282290       6.735
   50    142467      9174       2440       4002      1018      4673    1168410       2.000
